Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,1,16,3,1932,1935,2016,2030,WN,3655,N777QC,104,115,94,-14,-3,PHX,SJC,621,2,8,0,,0,NA,NA,NA,NA,NA
2009,1,14,1,1202,1205,1308,1320,WN,3406,N723SW,66,75,54,-12,-3,ABQ,PHX,328,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,21,1,1502,1500,1524,1525,WN,474,N213WN,82,85,68,-1,2,PIT,MDW,402,7,7,0,,0,NA,NA,NA,NA,NA
2009,1,11,5,2024,2030,2236,2255,WN,121,N255WN,132,145,121,-19,-6,MCO,ISP,972,4,7,0,,0,NA,NA,NA,NA,NA
2009,1,3,4,1915,1805,2029,1925,WN,722,N729SW,74,80,61,64,70,SJC,SAN,417,2,11,0,,0,13,0,0,0,51
2009,1,12,6,NA,1930,NA,2105,WN,574,,NA,95,NA,NA,NA,SAN,SMF,480,NA,NA,1,B,0,NA,NA,NA,NA,NA
2008,1,22,2,2143,2110,2300,2235,WN,2115,N327SW,137,145,108,25,33,PHL,MDW,668,5,24,0,,0,0,0,0,0,25
2008,1,18,5,1356,1350,1508,1505,WN,150,N742SW,72,75,61,3,6,SJC,SAN,417,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,712,715,854,915,WN,2972,N716SW,102,120,88,-21,-3,JAN,MDW,666,6,8,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,1142,1135,1256,1305,WN,2039,N376SW,74,90,61,-9,7,SLC,ABQ,493,4,9,0,,0,NA,NA,NA,NA,NA
2009,1,13,7,1316,1315,1639,1645,WN,214,N720WN,143,150,128,-6,1,MDW,TPA,997,4,11,0,,0,NA,NA,NA,NA,NA
2009,1,7,1,1927,1930,59,50,WN,2794,N426WN,212,200,173,9,-3,LAS,MDW,1521,22,17,0,,0,NA,NA,NA,NA,NA
2009,1,10,4,801,805,917,910,WN,2177,N523SW,76,65,56,7,-4,MDW,STL,251,7,13,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,1645,1645,1713,1720,WN,3919,N466WN,88,95,76,-7,0,RDU,BNA,443,5,7,0,,0,NA,NA,NA,NA,NA
2009,1,3,4,619,620,742,750,WN,414,N324SW,83,90,67,-8,-1,SFO,SAN,447,3,13,0,,0,NA,NA,NA,NA,NA
2009,1,4,5,1009,955,1130,1110,WN,2109,N427WN,81,75,53,20,14,OAK,ONT,361,6,22,0,,0,14,0,6,0,0
2009,1,4,5,1711,1655,1714,1700,WN,977,N363SW,63,65,51,14,16,SDF,STL,254,4,8,0,,0,NA,NA,NA,NA,NA
2009,1,7,1,1144,1145,1341,1345,WN,256,N367SW,117,120,107,-4,-1,OAK,SEA,671,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,2037,2020,2034,2025,WN,1280,N733SA,57,65,46,9,17,PHX,SAN,304,2,9,0,,0,NA,NA,NA,NA,NA
2009,1,13,7,1713,1715,2001,2005,WN,1073,N429WN,168,170,153,-4,-2,BUF,TPA,1054,9,6,0,,0,NA,NA,NA,NA,NA
2009,1,10,4,1128,1130,1233,1235,WN,769,N661SW,65,65,55,-2,-2,LAX,SJC,308,4,6,0,,0,NA,NA,NA,NA,NA
2009,1,7,1,850,850,1136,1135,WN,466,N365SW,106,105,89,1,0,MDW,BWI,611,3,14,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,841,845,1034,1050,WN,1561,N364SW,113,125,94,-16,-4,SEA,OAK,671,7,12,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,857,900,1101,1110,WN,829,N361SW,64,70,53,-9,-3,SAN,TUS,367,2,9,0,,0,NA,NA,NA,NA,NA
2009,1,13,7,1046,1035,1151,1150,WN,1591,N613SW,65,75,56,1,11,OAK,ONT,361,3,6,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1005,1005,1317,1250,WN,1620,N301SW,192,165,173,27,0,MCO,CLE,895,8,11,0,,0,0,0,27,0,0
2008,1,21,1,912,915,1151,1205,WN,2455,N250WN,159,170,148,-14,-3,ISP,MCO,972,5,6,0,,0,NA,NA,NA,NA,NA
2009,1,9,3,1228,1230,1507,1500,WN,1171,N606SW,99,90,68,7,-2,LAS,ABQ,487,3,28,0,,0,NA,NA,NA,NA,NA
2008,1,19,6,1243,1220,1454,1435,WN,1123,N451WN,71,75,58,19,23,MDW,PIT,402,6,7,0,,0,6,0,0,0,13
2008,1,22,2,1127,1130,1225,1225,WN,495,N497WN,58,55,38,0,-3,SEA,GEG,224,4,16,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,1540,1455,1653,1610,WN,1345,N438WN,73,75,61,43,45,LAX,SMF,373,4,8,0,,0,43,0,0,0,0
2008,1,17,4,1600,1605,1824,1835,WN,3134,N349SW,144,150,79,-11,-5,FLL,BWI,925,5,60,0,,0,NA,NA,NA,NA,NA
2009,1,5,6,1235,1145,1358,1300,WN,957,N659SW,83,75,58,58,50,BUR,SMF,358,16,9,0,,0,8,0,8,0,42
2009,1,8,2,1742,1740,1843,1840,WN,391,N248WN,61,60,47,3,2,LAS,BUR,223,2,12,0,,0,NA,NA,NA,NA,NA
2009,1,9,3,1429,1430,1423,1425,WN,829,N237WN,54,55,37,-2,-1,IND,MDW,162,5,12,0,,0,NA,NA,NA,NA,NA
2008,1,21,1,1727,1700,1821,1800,WN,607,N219WN,54,60,43,21,27,PHX,ABQ,328,3,8,0,,0,21,0,0,0,0
2009,1,13,7,1115,1115,1237,1250,WN,1518,N504SW,82,95,67,-13,0,LAS,SMF,397,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,1840,1840,2349,5,WN,1152,N299WN,189,205,176,-16,0,LAS,MDW,1521,4,9,0,,0,NA,NA,NA,NA,NA
2009,1,4,5,640,635,732,730,WN,640,N371SW,52,55,42,2,5,RDU,BWI,255,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,1234,1210,1450,1425,WN,3514,N282WN,76,75,55,25,24,SEA,BOI,399,3,18,0,,0,24,0,1,0,0
2008,1,16,3,620,605,848,825,WN,2527,N652SW,148,140,121,23,15,BWI,MCO,787,3,24,0,,0,15,0,8,0,0
2008,1,21,1,1528,1455,1815,1755,WN,29,N444WN,107,120,87,20,33,HOU,TPA,781,4,16,0,,0,3,0,0,0,17
2009,1,5,6,1438,1435,1600,1615,WN,725,N321SW,82,100,67,-15,3,PHL,CMH,405,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1244,1235,1451,1445,WN,3504,N741SA,67,70,50,6,9,SNA,PHX,338,10,7,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,1157,1200,1248,1300,WN,23,N659SW,51,60,42,-12,-3,DAL,HOU,239,3,6,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,1724,1645,1852,1815,WN,2720,N323SW,88,90,76,37,39,SMF,PDX,479,3,9,0,,0,8,0,0,0,29
2009,1,8,2,1325,1310,1443,1430,WN,73,N347SW,78,80,65,13,15,SMF,LAX,373,4,9,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,1157,1150,1712,1705,WN,2808,N671SW,195,195,170,7,7,PHX,SDF,1506,18,7,0,,0,NA,NA,NA,NA,NA
2009,1,8,2,1358,1400,1615,1620,WN,1192,N279WN,137,140,127,-5,-2,MDW,MSY,825,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,1352,1355,1526,1515,WN,89,N265WN,94,80,79,11,-3,BNA,MDW,395,8,7,0,,0,NA,NA,NA,NA,NA
2009,1,9,3,1807,1815,2059,2120,WN,3831,N795SW,112,125,99,-21,-8,MDW,PVD,842,6,7,0,,0,NA,NA,NA,NA,NA
2009,1,9,3,1710,1650,1957,1935,WN,1415,N399WN,107,105,89,22,20,SJC,PHX,621,7,11,0,,0,0,0,2,0,20
2009,1,8,2,1755,1755,1921,1935,WN,1511,N484WN,86,100,72,-14,0,SAN,RNO,488,5,9,0,,0,NA,NA,NA,NA,NA
2009,1,5,6,832,825,1110,1055,WN,3145,N742SW,278,270,254,15,7,MDW,SMF,1790,5,19,0,,0,7,0,8,0,0
2009,1,9,3,2049,2040,2201,2155,WN,882,N435WN,72,75,58,6,9,RDU,PHL,336,5,9,0,,0,NA,NA,NA,NA,NA
2009,1,9,3,1123,1125,1246,1250,WN,1918,N661SW,83,85,69,-4,-2,OAK,LAS,407,5,9,0,,0,NA,NA,NA,NA,NA
2009,1,8,2,957,1000,1102,1105,WN,2009,N511SW,65,65,51,-3,-3,OMA,STL,342,4,10,0,,0,NA,NA,NA,NA,NA
2009,1,12,6,1857,1855,1910,1915,WN,400,N605SW,73,80,60,-5,2,SLC,LAS,368,6,7,0,,0,NA,NA,NA,NA,NA
2009,1,3,4,2029,1940,2121,2030,WN,2023,N295WN,52,50,40,51,49,HRL,SAT,233,3,9,0,,0,0,0,2,0,49
2008,1,16,3,1239,1245,1353,1355,WN,2267,N490WN,74,70,57,-2,-6,JAX,FLL,318,3,14,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,743,745,922,950,WN,1005,N238WN,159,185,140,-28,-2,DEN,SEA,1024,7,12,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,821,825,923,935,WN,1306,N511SW,122,130,111,-12,-4,ELP,LAX,714,4,7,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,1857,1810,2144,2100,WN,2113,N306SW,107,110,93,44,47,BNA,PHL,675,6,8,0,,0,10,0,0,0,34
2009,1,6,7,1915,1910,2141,2145,WN,3567,N741SA,146,155,137,-4,5,MCO,BUF,1011,2,7,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1009,1005,1214,1215,WN,3595,N515SW,65,70,47,-1,4,SAN,PHX,304,6,12,0,,0,NA,NA,NA,NA,NA
2009,1,4,5,632,630,758,810,WN,118,N493WN,146,160,131,-12,2,PVD,MDW,842,6,9,0,,0,NA,NA,NA,NA,NA
2009,1,5,6,1146,1145,1249,1245,WN,18,N523SW,63,60,48,4,1,DAL,LIT,296,3,12,0,,0,NA,NA,NA,NA,NA
2009,1,7,1,806,750,905,850,WN,363,N339SW,59,60,43,15,16,SJC,BUR,296,4,12,0,,0,0,0,0,0,15
2008,1,17,4,714,715,847,820,WN,1438,N296WN,153,125,141,27,-1,RDU,MDW,632,4,8,0,,0,0,0,27,0,0
2008,1,17,4,1144,1145,1302,1315,WN,2438,N326SW,138,150,123,-13,-1,HOU,DEN,883,7,8,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,940,940,1211,1205,WN,989,N737JW,91,85,75,6,0,BUR,PHX,369,6,10,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1448,1445,1734,1735,WN,802,N407WN,106,110,90,-1,3,LAS,BOI,520,2,14,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,759,800,907,915,WN,1627,N428WN,68,75,55,-8,-1,LAX,OAK,337,3,10,0,,0,NA,NA,NA,NA,NA
2009,1,12,6,1454,1500,1606,1620,WN,273,N764SW,72,80,60,-14,-6,BNA,MDW,395,3,9,0,,0,NA,NA,NA,NA,NA
2009,1,11,5,631,630,738,750,WN,2527,N607SW,127,140,113,-12,1,BWI,STL,737,3,11,0,,0,NA,NA,NA,NA,NA
2009,1,5,6,1847,1830,1940,1925,WN,2374,N305SW,53,55,42,15,17,MAF,AUS,294,3,8,0,,0,0,0,0,0,15
2009,1,8,2,651,650,1240,1255,WN,2470,N783SW,229,245,210,-15,1,SJC,MDW,1838,5,14,0,,0,NA,NA,NA,NA,NA
2009,1,7,1,859,840,1151,1140,WN,3141,N457WN,292,300,278,11,19,BWI,SLC,1864,5,9,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,1827,1830,1925,1930,WN,56,N611SW,58,60,48,-5,-3,HRL,HOU,276,3,7,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,2145,2000,2319,2140,WN,2135,N392SW,94,100,83,99,105,MCO,RDU,534,4,7,0,,0,99,0,0,0,0
2009,1,8,2,1324,1325,1413,1425,WN,543,N730SW,49,60,38,-12,-1,MCO,FLL,178,3,8,0,,0,NA,NA,NA,NA,NA
2009,1,5,6,945,925,1029,1015,WN,2556,N216WR,104,110,89,14,20,TPA,BNA,612,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,1754,1750,1931,1910,WN,727,N273WN,97,80,65,21,4,SMF,SNA,404,24,8,0,,0,0,0,21,0,0
2009,1,8,2,1652,1700,1753,1810,WN,1257,N505SW,61,70,51,-17,-8,MCI,OKC,313,3,7,0,,0,NA,NA,NA,NA,NA
2009,1,13,7,1545,1500,1851,1805,WN,1403,N777QC,186,185,168,46,45,PVD,MCO,1073,6,12,0,,0,6,0,1,0,39
2009,1,6,7,1848,1850,1941,1945,WN,2019,N333SW,53,55,38,-4,-2,JAX,TPA,180,5,10,0,,0,NA,NA,NA,NA,NA
2009,1,13,7,1717,1655,1836,1815,WN,2300,N633SW,79,80,67,21,22,OKC,STL,462,4,8,0,,0,0,0,0,0,21
2008,1,19,6,1159,1200,1332,1335,WN,476,N402WN,93,95,69,-3,-1,SAN,SMF,480,6,18,0,,0,NA,NA,NA,NA,NA
2009,1,14,1,1804,1810,2121,2145,WN,3061,N759GS,137,155,124,-24,-6,MCI,MCO,1072,6,7,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,811,815,918,930,WN,3427,N256WN,67,75,56,-12,-4,BUR,SMF,358,4,7,0,,0,NA,NA,NA,NA,NA
2009,1,3,4,1900,1840,1956,1950,WN,717,N786SW,56,70,49,6,20,ISP,BWI,220,2,5,0,,0,NA,NA,NA,NA,NA
2009,1,13,7,1655,1655,1751,1755,WN,2039,N346SW,56,60,42,-4,0,HOU,MSY,303,5,9,0,,0,NA,NA,NA,NA,NA
2009,1,10,4,1547,1545,1608,1605,WN,734,N641SW,81,80,67,3,2,PHX,BUR,369,3,11,0,,0,NA,NA,NA,NA,NA
2009,1,7,1,932,935,1025,1035,WN,1750,N422WN,53,60,41,-10,-3,BWI,ISP,220,5,7,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,1041,1045,1139,1145,WN,409,N616SW,118,120,86,-6,-4,SLC,OAK,588,7,25,0,,0,NA,NA,NA,NA,NA
2009,1,13,7,2055,2055,2319,2315,WN,2177,N645SW,84,80,69,4,0,STL,DTW,440,9,6,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,1815,1810,1947,1930,WN,36,N362SW,92,80,66,17,5,MCI,MDW,405,6,20,0,,0,0,0,17,0,0
2008,1,22,2,948,950,1043,1040,WN,10,N300SW,115,110,100,3,-2,DAL,ABQ,580,3,12,0,,0,NA,NA,NA,NA,NA
2009,1,5,6,929,930,1035,1035,WN,3859,N466WN,66,65,55,0,-1,BUR,SJC,296,4,7,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,1132,1130,1404,1400,WN,3311,N222WN,152,150,142,4,2,TPA,ISP,1034,3,7,0,,0,NA,NA,NA,NA,NA
2009,1,11,5,1514,1455,1514,1500,WN,2442,N482WN,60,65,52,14,19,PHX,SAN,304,1,7,0,,0,NA,NA,NA,NA,NA
2009,1,14,1,921,920,1150,1155,WN,1508,N305SW,89,95,79,-5,1,ABQ,DAL,580,4,6,0,,0,NA,NA,NA,NA,NA
2009,1,9,3,1252,1250,1358,1355,WN,1838,N522SW,66,65,45,3,2,LAS,BUR,223,2,19,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,1845,1835,1946,1945,WN,140,N604SW,61,70,49,1,10,BUF,BWI,281,3,9,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,1433,1430,1553,1555,WN,1131,N631SW,80,85,64,-2,3,PDX,SMF,479,6,10,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,633,635,745,745,WN,1483,N307SW,72,70,57,0,-2,BWI,ALB,288,3,12,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,1516,1515,1738,1730,WN,146,N504SW,82,75,62,8,1,MDW,PIT,402,6,14,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,850,850,1128,1120,WN,755,N339SW,98,90,79,8,0,BNA,DTW,457,8,11,0,,0,NA,NA,NA,NA,NA
2009,1,3,4,611,610,837,835,WN,3948,N467WN,146,145,126,2,1,SEA,LAS,866,5,15,0,,0,NA,NA,NA,NA,NA
2009,1,14,1,1330,1330,1417,1425,WN,3333,N491WN,47,55,39,-8,0,HOU,SAT,192,2,6,0,,0,NA,NA,NA,NA,NA
2009,1,14,1,2015,2020,2325,2330,WN,1573,N761RR,130,130,113,-5,-5,DEN,MDW,895,6,11,0,,0,NA,NA,NA,NA,NA
2009,1,9,3,1729,1730,49,50,WN,2632,N289CT,260,260,232,-1,-1,LAS,BWI,2106,4,24,0,,0,NA,NA,NA,NA,NA
2009,1,12,6,717,720,933,945,WN,987,N290WN,136,145,116,-12,-3,PIT,MCO,834,12,8,0,,0,NA,NA,NA,NA,NA
2009,1,5,6,1219,1200,1923,1850,WN,991,N790SW,244,230,207,33,19,LAS,CMH,1772,4,33,0,,0,6,0,14,0,13
2009,1,10,4,1833,1835,2121,2145,WN,419,N432WN,108,130,99,-24,-2,BNA,BDL,852,3,6,0,,0,NA,NA,NA,NA,NA
2009,1,9,3,1727,1725,46,45,WN,1509,N901WN,259,260,229,1,2,LAS,RDU,2027,2,28,0,,0,NA,NA,NA,NA,NA
2009,1,5,6,2204,1950,29,2235,WN,106,N727SW,85,105,75,114,134,MDW,BWI,611,4,6,0,,0,0,0,0,5,109
2009,1,10,4,1442,1445,1701,1710,WN,500,N383SW,79,85,60,-9,-3,LAS,ABQ,487,5,14,0,,0,NA,NA,NA,NA,NA
2009,1,10,4,747,745,854,855,WN,2355,N238WN,67,70,52,-1,2,BWI,PVD,328,6,9,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,2000,2000,2217,2230,WN,634,N718SW,137,150,123,-13,0,BWI,PBI,883,4,10,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,1425,1415,1544,1550,WN,28,N265WN,79,95,69,-6,10,DAL,STL,546,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,1722,1700,2008,1930,WN,271,N689SW,226,210,204,38,22,BWI,OKC,1180,4,18,0,,0,13,0,16,0,9
2008,1,19,6,2045,2010,2159,2120,WN,3686,N737JW,74,70,58,39,35,ISP,BWI,220,4,12,0,,0,0,0,4,0,35
2009,1,9,3,659,700,814,815,WN,3483,N268WN,75,75,56,-1,-1,BUR,OAK,325,6,13,0,,0,NA,NA,NA,NA,NA
2009,1,13,7,1031,1025,1450,1445,WN,3069,N403WN,199,200,177,5,6,PHX,MDW,1444,6,16,0,,0,NA,NA,NA,NA,NA
2008,1,19,6,923,925,1133,1145,WN,3927,N236WN,70,80,59,-12,-2,MDW,BUF,468,4,7,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1543,1520,1806,1755,WN,2449,N635SW,143,155,129,11,23,PBI,PHL,951,6,8,0,,0,NA,NA,NA,NA,NA
2009,1,4,5,2138,2140,2245,2245,WN,2014,N467WN,67,65,52,0,-2,BWI,PVD,328,5,10,0,,0,NA,NA,NA,NA,NA
2009,1,9,3,2049,2050,2154,2205,WN,582,N617SW,65,75,51,-11,-1,OAK,ONT,361,3,11,0,,0,NA,NA,NA,NA,NA
2008,1,23,3,938,940,1039,1045,WN,3838,N770SA,61,65,48,-6,-2,BWI,BUF,281,5,8,0,,0,NA,NA,NA,NA,NA
2009,1,10,4,943,945,1141,1145,WN,3431,N780SW,118,120,105,-4,-2,OAK,SEA,671,3,10,0,,0,NA,NA,NA,NA,NA
2009,1,10,4,1248,1250,1349,1350,WN,187,N604SW,61,60,50,-1,-2,STL,MCI,237,4,7,0,,0,NA,NA,NA,NA,NA
2009,1,4,5,1920,1845,2011,1940,WN,177,N768SW,111,115,103,31,35,PHX,SJC,621,3,5,0,,0,0,0,0,0,31
2008,1,16,3,1356,1355,1619,1640,WN,1429,N493WN,323,345,310,-21,1,ALB,LAS,2237,6,7,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,734,725,906,830,WN,3244,N236WN,92,65,50,36,9,OMA,STL,342,5,37,0,,0,9,0,27,0,0
2008,1,22,2,1854,1855,2150,2155,WN,45,N642WN,116,120,96,-5,-1,HOU,TPA,781,5,15,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,1855,1850,2028,2015,WN,1516,N437WN,93,85,69,13,5,RNO,LAX,390,6,18,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,1613,1615,1859,1915,WN,1348,N422WN,106,120,97,-16,-2,PHX,SAT,843,2,7,0,,0,NA,NA,NA,NA,NA
2009,1,14,1,2140,2145,2306,2300,WN,2817,N413WN,86,75,67,6,-5,LAX,SMF,373,4,15,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,1326,1330,1625,1630,WN,2039,N673AA,119,120,104,-5,-4,ABQ,HOU,759,6,9,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,858,900,1140,1155,WN,3499,N714CB,162,175,148,-15,-2,PHL,PBI,951,4,10,0,,0,NA,NA,NA,NA,NA
2009,1,10,4,1014,1015,1520,1535,WN,2010,N391SW,186,200,170,-15,-1,PDX,MCI,1481,5,11,0,,0,NA,NA,NA,NA,NA
2008,1,22,2,1132,1135,1254,1255,WN,108,N455WN,82,80,68,-1,-3,BNA,MDW,395,5,9,0,,0,NA,NA,NA,NA,NA
2009,1,11,5,1701,1700,1758,1755,WN,44,N512SW,57,55,42,3,1,HOU,DAL,239,3,12,0,,0,NA,NA,NA,NA,NA
2008,1,21,1,647,650,808,805,WN,2524,N638SW,81,75,65,3,-3,BDL,BWI,283,3,13,0,,0,NA,NA,NA,NA,NA
2009,1,14,1,1547,1550,1657,1710,WN,1334,N437WN,70,80,58,-13,-3,BWI,CMH,336,3,9,0,,0,NA,NA,NA,NA,NA
2009,1,4,5,1649,1650,1650,1700,WN,3584,N458WN,61,70,47,-10,-1,CMH,MDW,284,8,6,0,,0,NA,NA,NA,NA,NA
2009,1,5,6,2130,2105,2340,2330,WN,1915,N685SW,130,145,112,10,25,MCO,PHL,861,4,14,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,801,805,841,855,WN,1002,N409WN,100,110,88,-14,-4,DAL,ABQ,580,3,9,0,,0,NA,NA,NA,NA,NA
2009,1,9,3,1915,1915,2029,2035,WN,2202,N210WN,74,80,56,-6,0,SMF,LAX,373,6,12,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,1243,1245,1338,1345,WN,2293,N296WN,55,60,41,-7,-2,TPA,FLL,197,4,10,0,,0,NA,NA,NA,NA,NA
2009,1,10,4,1055,1100,1312,1330,WN,2784,N284WN,137,150,129,-18,-5,MCO,ISP,972,3,5,0,,0,NA,NA,NA,NA,NA
2008,1,22,2,1843,1835,2041,2030,WN,1287,N372SW,178,175,159,11,8,TPA,SAT,972,4,15,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,2010,1930,2228,2145,WN,2551,N623SW,78,75,62,43,40,LAX,PHX,370,8,8,0,,0,9,0,3,0,31
2009,1,4,5,1530,1525,1754,1755,WN,3949,N605SW,84,90,65,-1,5,STL,DTW,440,9,10,0,,0,NA,NA,NA,NA,NA
2009,1,12,6,1901,1905,1857,1910,WN,1403,N367SW,56,65,46,-13,-4,BOI,RNO,335,4,6,0,,0,NA,NA,NA,NA,NA
2009,1,12,6,1155,1155,1255,1300,WN,480,N683SW,60,65,45,-5,0,BUR,LAS,223,6,9,0,,0,NA,NA,NA,NA,NA
2009,1,13,7,1920,1830,2147,2105,WN,1490,N777QC,147,155,125,42,50,MCO,BUF,1011,4,18,0,,0,3,0,0,0,39
2008,1,21,1,745,745,841,840,WN,2121,N521SW,56,55,42,1,0,SAT,DAL,248,5,9,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,2030,2035,2249,2320,WN,644,N406WN,139,165,120,-31,-5,PHL,MCO,861,7,12,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,1037,1015,1302,1245,WN,1574,N650SW,145,150,134,17,22,TPA,PHL,920,3,8,0,,0,5,0,0,0,12
2009,1,5,6,647,640,938,955,WN,3667,N294WN,171,195,158,-17,7,ISP,RSW,1101,2,11,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,1716,1705,2048,2030,WN,578,N428WN,152,145,133,18,11,OAK,DEN,957,12,7,0,,0,11,0,7,0,0
2009,1,8,2,629,635,921,935,WN,1674,N734SA,112,120,98,-14,-6,MDW,MHT,838,5,9,0,,0,NA,NA,NA,NA,NA
2009,1,7,1,1057,1100,1302,1310,WN,127,N228WN,305,310,290,-8,-3,BUF,LAS,1987,6,9,0,,0,NA,NA,NA,NA,NA
2008,1,22,2,1510,1505,1626,1630,WN,1610,N655WN,76,85,65,-4,5,SDF,BWI,495,4,7,0,,0,NA,NA,NA,NA,NA
2009,1,5,6,742,745,902,910,WN,2191,N299WN,80,85,61,-8,-3,OAK,SNA,371,4,15,0,,0,NA,NA,NA,NA,NA
2009,1,10,4,2253,2155,21,2325,WN,1950,N349SW,88,90,73,56,58,LAS,OAK,407,5,10,0,,0,3,0,0,0,53
2009,1,7,1,1515,1515,1617,1620,WN,32,N602SW,62,65,50,-3,0,DAL,LBB,293,2,10,0,,0,NA,NA,NA,NA,NA
